node_id,chapter_id,source_file,level,heading,heading_path,content
10,BrTr,BrTr.json,4,Riccia-র শনাক্তকারী বৈশিষ্ট্য,ব্রায়োফাইটা ও টেরিডোফাইটা → ব্রায়োফাইটা (Bryophyta) বা মসবর্গীয় উদ্ভিদ → Riccia (রিকশিয়া) → Riccia-র শনাক্তকারী বৈশিষ্ট্য,"Riccia-র শনাক্তকারী বৈশিষ্ট্য
১। উদ্ভিদ দেহ গ্যামিটোফাইটিক ও থ্যালয়েড অর্থাৎ মূল, কাণ্ড ও
পাতায় বিভক্ত নয়।
২। থ্যালাস্ সবুজ, শায়িত, চ্যাপ্টা এবং বিষমপৃষ্ঠ।
৩। থ্যালাস দ্ব্যাগ্র শাখাবিশিষ্ট এবং প্রতি শাখার মাথায় খাঁজযুক্ত।
৪। থ্যালাসের নিম্নপৃষ্ঠে দু প্রকার এককোষী মসৃণ ও অমসৃণ রাইজয়েড
এবং বহুকোষী স্কেল বা শল্ক বিদ্যমান।
৫। স্পোরোফাইটিক দশা সরল প্রকৃতির এবং গ্যামিটোফাইটের ওপর নির্ভরশীল।
শ্রেণিবিন্যাস
৬। অভ্যন্তরীণ টিস্যু ওপরের পৃষ্ঠের দিকে দণ্ডাকার (ফাঁকে ফাঁকে বায়ু প্রকোষ্ঠযুক্ত) ফটোসিন্থেটিক অঞ্চল এবং নিচের পৃষ্ঠের দিকে অবিচ্ছিন্ন কোষের সঞ্চয়ী অঞ্চল-এ বিভক্ত।
৭। স্ত্রী জননাঙ্গআর্কিগোনিয়াম, পুং জননাঙ্গ অ্যান্থেরিডিয়াম এবং স্পোরোফাইট হোমোস্পোরাস।
৮। আর্কিগোনিয়াম দেখতে ফ্লাস্কের মতো এবং অ্যান্থেরিডিয়ামের আকৃতি নাশপাতির মতো; গোলাকার, ডিম্বাকার বা বেলনাকার।"
11,BrTr,BrTr.json,4,Riccia-র বাহ্যিক গঠন,ব্রায়োফাইটা ও টেরিডোফাইটা → ব্রায়োফাইটা (Bryophyta) বা মসবর্গীয় উদ্ভিদ → Riccia (রিকশিয়া) → Riccia-র বাহ্যিক গঠন,"বাহ্যিক গঠন বৈশিষ্ট্য: Riccia গ্যামিটোফাইটিক উদ্ভিদ। এদের দেহ থ্যালয়েড অর্থাৎ দেহকে মূল, কাণ্ড ও পাতায়
বিভক্ত করা যায় না। থ্যালাসটি সবুজ, শায়িত এবং বিষমপৃষ্ঠ। থ্যালাস দ্ব্যাগ্র শাখাবিশিষ্ট। সাধারণত কতগুলো Riccia
থ্যালাস একত্রে গোলাপের পাপড়ির মতো গোলাকার চক্র করে অবস্থান করে। এ
অবস্থাকে রোজেট বলে। থ্যালাসের ওপর পৃষ্ঠে লম্বালম্বিভাবে মধ্যশিরা আছে
এবং শিরা বরাবর লম্বা খাঁজ (dorsal furrow) আছে। থ্যালাসের প্রতিটি শাখার শীর্ষে একটি খাঁজ আছে, একে অগ্রন্থ খাঁজ (apical notch) বলে। থ্যালাসের
নিচের পৃষ্ঠ থেকে বহুকোষী স্কেল এবং এককোষী রাইজয়েড সৃষ্টি হয়।
রাইজয়েড মসৃণ এবং অমসৃণ (smooth & tuberculate)-এ দু'প্রকার হয়। থ্যালাসকে মাটির সাথে আটকিয়ে রাখা এবং মাটি থেকে পানি ও খনিজ লবণ
শোষণ করা স্কেল ও রাইজয়েড এর কাজ। Riccia-এর স্পোরোফাইট সর্বাপেক্ষা
সরল এবং সম্পূর্ণরূপে গ্যামিটোফাইটের ওপর নির্ভরশীল। স্পোরোফাইট
শুধুমাত্র গোলাকার ক্যাপসিউল-এ গঠিত যা থ্যালাসে নিমজ্জিত থাকে।"
12,BrTr,BrTr.json,4,Riccia-র অভ্যন্তরীণ গঠন,ব্রায়োফাইটা ও টেরিডোফাইটা → ব্রায়োফাইটা (Bryophyta) বা মসবর্গীয় উদ্ভিদ → Riccia (রিকশিয়া) → Riccia-র অভ্যন্তরীণ গঠন,"Riccia-র অভ্যন্তরীণ গঠন (থ্যালাসের প্রন্থচ্ছেদ): প্রন্থচ্ছেদে থ্যালাসকে তিনটি পৃথক অঞ্চলে বিভক্ত দেখা যায় : (i)
ওপরের দিকে ক্লোরোপ্লাস্টযুক্ত ফটোসিনথেটিক বা আত্তীকরণ অঞ্চল, (ii) নিচের দিকে বর্ণহীন সঞ্চয়ী অঞ্চল এবং (iii)
নিম্নত্বক।

**(i) ফটোসিনথেটিক বা আত্তীকরণ অঞ্চল (Photosynthetic or assimilatory zone):** থ্যালাসের ওপরের দিকে
ক্লোরোপ্লাস্টযুক্ত খাড়া কোষের সারি নিয়ে এ অঞ্চল গঠিত। এ অঞ্চলে ফটোসিনথেসিস হয় এবং খাদ্য তৈরি হয়।
ক্লোরোপ্লাস্টযুক্ত এ সারিগুলোকে আত্তীকরণ সূত্র (assimilatory filament) বলে। এসব আত্তীকরণ সূত্রের মধ্যবর্তী সরু ও
লম্বা নালির ন্যায় বায়ুপূর্ণ স্থানকে বায়ু প্রকোষ্ঠ (air chamber) বলে। প্রতিটি বায়ু প্রকোষ্ঠ একটি ছিদ্রপথে বাইরের সাথে
উন্মুক্ত থাকে। এ ছিদ্রপথকে বায়ুছিদ্র (air pore) বলে।আত্তীকরণ সূত্রের বাইরের কোষগুলো কিছুটা বড়ো ও ক্লোরোপ্লাস্টবিহীন
থাকে। বর্ণহীন এ কোষগুলো থ্যালাসের উপরিভাগে একটি অসম্পূর্ণ উর্ধ্বত্বক (upper epidermis) গঠন করে। বর্ণহীন
একসারি কোষদিয়ে থ্যালাসের ঊর্ধ্বত্বক গঠিত।

**(ii) সঞ্চয়ী অঞ্চল (Storage zone):** থ্যালাসের ফটোসিনথেটিক অঞ্চলের নিচে এ অঞ্চল অবস্থিত। এ অঞ্চলটি
কয়েক সারি বর্ণহীন প্যারেনকাইমা কোষ দ্বারা গঠিত এবং সাধারণত আন্তঃকোষীয় ফাঁক বিবর্জিত। এ সকল কোষে প্রচুর
শ্বেতসার কণা সঞ্চিত থাকে।

**(iii) নিম্নত্বক:** একসারি কোষ দিয়ে নিম্নত্বক গঠিত। নিম্নত্বক সুগঠিত। নিম্নত্বক থেকে বহু এককোষী রাইজয়েড ও
বহুকোষী শল্ক বা স্কেলনির্গত হয়। রাইজয়েড দু ধরনের;যথা- মসৃণ ও অমসৃণ।"
13,BrTr,BrTr.json,4,জনন (Reproduction),ব্রায়োফাইটা ও টেরিডোফাইটা → ব্রায়োফাইটা (Bryophyta) বা মসবর্গীয় উদ্ভিদ → Riccia (রিকশিয়া) → জনন (Reproduction),"**অঙ্গজ জনন:** থ্যালাসের পেছনের অংশ মরে গেলে অগ্রভাগের প্রতিটি শাখা স্বতন্ত্র Riccia উদ্ভিদ হিসেবে আত্মপ্রকাশ
করে। রাইজয়েডের অগ্রভাগে গিমা (gemma) এবং থ্যালাসের ওপর টিউবার (tuber) জাতীয় উপবৃদ্ধি সৃষ্টি হতে পারে যা
থেকে নতুন উদ্ভিদ সৃষ্টি হয়ে থাকে।

**যৌন জনন:** Riccia-র পুংজননাঙ্গকে অ্যান্থেরিডিয়াম এবং স্ত্রীজননাঙ্গকে আর্কিগোনিয়াম বলে। নাশপাতি আকৃতির
অ্যান্থেরিডিয়ামে দ্বিফ্ল্যাজেলাবিশিষ্ট শুক্রাণু এবং ফ্ল্যাস্ক আকৃতির আর্কিগোনিয়ামে নিশ্চল ডিম্বাণু উৎপন্ন হয়। সচল শুক্রাণু জল
চালিত হয়ে আর্কিগোনিয়ামে অবস্থিত নিশ্চল ডিম্বাণুকে নিষিক্ত করে। নিষিক্ত ডিম্বাণু পরিস্ফুটিত হয়ে সরল ও গোলাকার
স্পোরোফাইট গঠন করে। স্পোরোফাইট ক্যাপসিউলে সীমাবদ্ধ থাকে। এর মধ্যে স্পোর উৎপন্ন হয়। স্পোরগুলো আকারআকৃতিতে একইরূপ হয় অর্থাৎ হোমোস্পোরাস। অনুকূল পরিবেশে স্পোর অঙ্কুরিত হয়ে তরুণ Riccia থ্যালাস গঠন করে।"
14,BrTr,BrTr.json,4,Riccia উদ্ভিদের গুরুত্ব,ব্রায়োফাইটা ও টেরিডোফাইটা → ব্রায়োফাইটা (Bryophyta) বা মসবর্গীয় উদ্ভিদ → Riccia (রিকশিয়া) → Riccia উদ্ভিদের গুরুত্ব,"Riccia: উদ্ভিদের গুরুত্ব: মাটিতে জৈব পদার্থ সংযোজনে কিছুটা ভূমিকা পালন করে। পরিবেশ দূষণের সূচক
হিসেবে কাজ করে। বিবর্তন ধারা বিষয়ে প্রথম স্থলজ উদ্ভিদের বৈশিষ্ট্য সম্পর্কে ধারণা দিতে সহায়তা করে।

---"
15,BrTr,BrTr.json,2,টেরিডোফাইটা (Pteridophyta) বা ফার্নবর্গীয় উদ্ভিদ,ব্রায়োফাইটা ও টেরিডোফাইটা → টেরিডোফাইটা (Pteridophyta) বা ফার্নবর্গীয় উদ্ভিদ,"(Gk. Pteron = ফার্ন এবং phyton = উদ্ভিদ)

গ্রিক শব্দ Pteron (পক্ষল বা ডানা এবং phyton (উদ্ভিদ)থেকে Pteridophya শব্দের উৎপত্তি। এর আভিধানিক অর্থ
হলো পক্ষল বা ডানাবিশিষ্ট উদ্ভিদ। বিভিন্ন শোভাবর্ধনকারী ফার্ন (fen)-এর সাথে আমরা অনেকেই পরিচিত। ঢেঁকিশাকও
(Dryopteris) এক ধরনের ফার্ন। সকল ফার্ন ও ফার্নজাতীয় উদ্ভিদ টেরিডোফাইটা বিভাগের অন্তর্গত, তাই
টেরিডোফাইটাকে ফার্নবর্গীয় উদ্ভিদ বলা হয়ে থাকে। এরা অপুষ্পক ও দেহে ভাস্কুলার টিস্যু থাকায় এদেরকে ভাঙ্কুলার
ক্রিপ্টোগ্যামস বলা হয়। Wallace, Sanders ও Ferl-এর Biology (১৯৯৬), অনুযায়ী পৃথিবীতে প্রায় ১১ হাজার তেইশ
(১১০২৩) প্রজাতির টেরিডোফাইট উদ্ভিদ আছে। Pteridophyta বিভাগের অন্তর্গত উদ্ভিদ(সমূহ) কে Pteridophytes
(টেরিডোফাইট্স) বলা হয়। বাংলাদেশ থেকে ৪১ গোত্রের ১৯৫ প্রজাতির টেরিডোফাইট্স নথিভুক্ত করা হয়েছে। অধিকাংশ
প্রজাতিই স্থলজ, কতক জলজ ও কতক পরাশ্রয়ী প্রজাতি আছে। এ গ্রুপের উদ্ভিদই প্রথম স্থল ভাগে প্রাধান্য বিস্তার লাভ
করেছিল প্রায় ৪০০ মিলিয়ন বছর পূর্বে।"
16,BrTr,BrTr.json,3,টেরিডোফাইটার বৈশিষ্ট্য,ব্রায়োফাইটা ও টেরিডোফাইটা → টেরিডোফাইটা (Pteridophyta) বা ফার্নবর্গীয় উদ্ভিদ → টেরিডোফাইটার বৈশিষ্ট্য,"টেরিডোফাইটার বৈশিষ্ট্য
১। এরা অপুষ্পক ও অবীজী উদ্ভিদ।
২। প্রধান দেহটি স্পোরোফাইট বা রেণুধর অর্থাৎ ডিপ্লয়েড (2n)
৩। গ্যামিটোফাইট পর্যায়কে প্রোথ্যালাস বলে,যা থ্যালাস প্রকৃতির।
৪। এদের দেহকে মূল, কাণ্ড ও পাতায় বিভক্ত করা যায়।
৫। এদের ভাম্বুলার টিস্যু আছে।
৬। এদের ভ্রুণ সৃষ্টি হয়।
৭। অধিকাংশ প্রজাতিতে কাণ্ড রাইজোম-এ রূপান্তরিত হয়।
৮। স্পোরোফাইটে স্পোর উৎপন্ন হয়, যা সম (homosporous) বা অসম (heterosporous) আকৃতির
হতে পারে।
৯। এদের জননাঙ্গ বহুকোষী এবং জননাঙ্গের চারদিকে বন্ধ্যাকোষের
বেষ্টনী থাকে।
১০। এদের পুংগ্যামিট সচল এবং অ্যান্থেরিডিয়ামে উৎপন্ন
১১। এদের স্ত্রীগ্যামিট নিশ্চল এবং আর্কিগোনিয়ামে উৎপন্ন হয়।
হয়
১২। জীবনচক্রে সুস্পষ্ট হিটারোমরফিক জনুঃক্রম
বিদ্যমান।

---"
17,BrTr,BrTr.json,3,Pteris (টেরিস),ব্রায়োফাইটা ও টেরিডোফাইটা → টেরিডোফাইটা (Pteridophyta) বা ফার্নবর্গীয় উদ্ভিদ → Pteris (টেরিস),"বাংলাদেশে Pteris উদ্ভিদ একটি পরিচিত ফার্ন উদ্ভিদ। খোলা
ও উন্মুক্ত জায়গা অর্থাৎ রোদে জন্মাতে পছন্দ করে বলে Pteris
উদ্ভিদ সানফার্ন নামে পরিচিত। বাংলাদেশে Pteris এর প্রায় ১৬টি
প্রজাতি জন্মে থাকে। যেমন-Pteris vittata, P. longifolia
ইত্যাদি। সবচেয়ে বেশি জন্মায় Pteris vittata"
18,BrTr,BrTr.json,4,শ্রেণিবিন্যাস,ব্রায়োফাইটা ও টেরিডোফাইটা → টেরিডোফাইটা (Pteridophyta) বা ফার্নবর্গীয় উদ্ভিদ → Pteris (টেরিস) → শ্রেণিবিন্যাস,"শ্রেণিবিন্যাস
Kingdom: Plantae
Grade: Tracheophyta
Division: Filicinophyta
Class: Filicineae
Order: Filicales
Family: Polypodiaceaе
Genus: Pteris"
19,BrTr,BrTr.json,4,Pteris-এর শনাক্তকারী বৈশিষ্ট্য,ব্রায়োফাইটা ও টেরিডোফাইটা → টেরিডোফাইটা (Pteridophyta) বা ফার্নবর্গীয় উদ্ভিদ → Pteris (টেরিস) → Pteris-এর শনাক্তকারী বৈশিষ্ট্য,"Pteris-এর শনাক্তকারী বৈশিষ্ট্য
১। দেহ মূল, কাণ্ড ও পাতায় বিভক্ত।
২। কাণ্ড রাইজোম (rhizome)-এ রূপান্তরিত হয়।
৩। রাইজোম র‍্যামেন্টা নামক শল্কপত্র দিয়ে আচ্ছাদিত থাকে।
৪। পাতা যৌগিক, কচি অবস্থায় পাতাগুলো কুণ্ডলিত থাকে।
৫। সব স্পোর একই রকম (হোমোস্পোরাস)।
৬। স্পোরাঞ্জিয়া একত্রিত হয়ে পত্রকের কিনারায় সোরাস (sorus) গঠন
করে।
৭। স্পোরাঞ্জিয়াম ফলস্ ইন্ডুসিয়াম (false inducium) দিয়ে ঢাকা
থাকে।
৮। প্রোথ্যালাস (গ্যামিটোফাইট) সবুজ, হৃৎপিণ্ডাকার এবং সহবাসী।
৯। রাইজোমের নিচ থেকে অস্থানিক মূল বের হয়।
১০। পাতায় র‍্যাকিস (rachis) থাকে।
১১। Pteris উদ্ভিদ Pteridophyte, কারণ এটি
ফটোসিন্থেটিক (তাই ছত্রাক নয়), ভাস্কুলার (তাই শৈবাল
বা মসবর্গীয় নয়), অপুষ্পক (তাই নগ্নবীজী বা আবৃতবীজী
উদ্ভিদ নয়)।"
